"iid","nid","tid","parent_iid"
"871","75341","3588",NULL
"872","1003","1143",NULL
"873","42010","2906",NULL
"874","1146","171",NULL
"875","1645","2874",NULL
"876","920","1106",NULL
"877","6750","480",NULL
"878","902","1107",NULL
"879","106818","3572",NULL
"880","5496","1487",NULL
"881","600","1407",NULL
"882","2797","379",NULL
"883","90302","697",NULL
"884","1343","698",NULL
"885","956","1039",NULL
"886","815","269",NULL
"887","91","483",NULL
"888","172","484",NULL
"889","493","1255",NULL
"890","1025","2748",NULL
"891","704","2977",NULL
"892","970","1052",NULL
"893","4728","585",NULL
"894","1440","1429",NULL
"895","97535","3609",NULL
"896","1208","172",NULL
"897","1252","700",NULL
"898","1261","701",NULL
"899","66328","1235",NULL
"900","4813","628",NULL
"901","5097","1192",NULL
"902","3239","2958",NULL
"903","1511","602",NULL
"904","297","486",NULL
"905","582","1408",NULL
"906","431","938",NULL
"907","3223","362",NULL
"908","97510","3189",NULL
"909","1551","2457",NULL
"910","126","487",NULL
"911","41594","230",NULL
"912","2799","380",NULL
"913","71041","1707",NULL
"914","1759","1773",NULL
"915","97404","3429",NULL
"916","102054","785",NULL
"917","634","1014",NULL
"918","251","860",NULL
"919","97384","3617",NULL
"920","1552","2458",NULL
"921","368","3147",NULL
"922","1512","603",NULL
"923","449","939",NULL
"924","57033","3251",NULL
"925","253","861",NULL
"926","130","488",NULL
"927","1521","2419",NULL
"928","41298","231",NULL
"929","100029","3694",NULL
"930","45908","232",NULL
"931","1646","1972",NULL
"932","1282","2981",NULL
"933","328","260",NULL
"934","1160","173",NULL
"935","101516","3657",NULL
"936","509","1206",NULL
"937","43967","31",NULL
"938","97286","3618",NULL
"939","1028","2865",NULL
"940","1528","2426",NULL
"941","5246","1361",NULL
"942","1193","174",NULL
"943","1421","29",NULL
"944","1010","1119",NULL
"945","1390","23",NULL
"946","3565","940",NULL
"947","87","489",NULL
"948","1273","705",NULL
"949","1741","1768",NULL
"950","92","490",NULL
"951","43954","491",NULL
"952","538","2314",NULL
"953","70654","14",NULL
"954","494","1214",NULL
"955","1514","2443",NULL
"956","100427","1040",NULL
"957","312","1249",NULL
"958","1443","1696",NULL
"959","1513","604",NULL
"960","2544","586",NULL
"961","861","1622",NULL
"962","1721","1761",NULL
"963","102263","2909",NULL
"964","239","492",NULL
"965","622","1353",NULL
"966","1322","706",NULL
"967","3181","381",NULL
"968","101","493",NULL
"969","66331","1225",NULL
"970","958","1041",NULL
"971","113649","3615",NULL
"972","454","3662",NULL
"973","97868","3337",NULL
"974","1147","177",NULL
"975","1391","40",NULL
"976","1396","7",NULL
"977","6302","235",NULL
"978","1148","176",NULL
"979","1325","786",NULL
"980","44386","2927",NULL
"981","938","1108",NULL
"982","1652","1996",NULL
"983","1647","2998",NULL
"984","1170","178",NULL
"985","47385","179",NULL
"986","3232","370",NULL
