"id_discipline","id_dep","discipline"
"3704","4265","Иностранный язык (практический курс): украинск./польск./болг"
"8059","4301","Иностранный язык (фр)"
"5733","4370","Иностранный язык (французский)"
"3203","4087773","Иностранный язык в профессиональной коммуникации"
"6676","3920","Иностранный язык в профессиональной сфере"
"1888","3952","Иностранный язык в сфере профессиональной коммуникации"
"2493","3935","Иностранный язык в сфере профессиональной комуникации"
"9203","3879","Иностранный язык часть 2"
"7523","4301","Иностранный язык. Практический курс"
"6312","4047","Иностранный язык: профессиональная терминология и основы перевода научных текстов"
"6675","3920","Иностранный язык: чтение текстов"
"6742","4087778","Институциональная экономика"
"1994","3952","Интеллектуальные и экспертные системы"
"6313","4047","Интеллектуальные информационные системы"
"3803","4265","Интернет в СМИ"
"4047","4087768","Интерпретация текста"
"3971","4087768","Интерпретация художественного текста"
"6315","4047","Интерфейсы информационных систем"
"8366","3964","Интерфейсы периферийных устройств"
"5567","3879","Интерференционные методы в анализе биологических сред"
"5187","3879","Интроскопия в биологии и медицине"
"3674","4265","Информатика"
"1278","4087764","Информатика"
"7540","4301","Информатика и базы банных"
"3759","4265","Информатика и программирование"
"1749","3952","Информатика: средства и методы защиты информации"
"2101","4087763","Информационная безопасность"
"1747","3952","Информационно-измерительные системы управления процессами"
"6319","4047","Информационное обеспечение и работа с молодежью"
"1986","3952","Информационное обеспечение инновационного процесса"
"9363","3822","Информационное право"
"2055","4087763","Информационные и коммуникационные технологии"
"6109","4087765","Информационные и коммуникационные технологии в деятельности психолога"
"5136","3879","Информационные лазерные системы"
"4254","4087768","Информационные системы "
"7571","4301","Информационные системы и технологии в туристской индустрии"
"6320","4047","Информационные системы и технологии Часть 1."
"11062","4204","Информационные системы и технологии. Часть 1"
"4011","4087768","Информационные технологии"
"2106","4087763","Информационные технологии"
"1598","3952","Информационные технологии в медицине"
"6754","4087778","Информационные технологии в менеджменте"
"8401","3964","Информационные технологии в науке и и образовании"
"9591","3822","Информационные технологии в политике"
"1280","4087764","Информационные технологии в профессиональной деятельности"
"3204","4087773","Информационные технологии в психологии"
"5683","3879","Информационные технологии в разработке радиоэлектронных устройств"
"9749","4087776","Информационные технологии в современном образовании"
"3245","4087770","Информационные технологии в специальном образовании"
"7227","4349","Информационные технологии в туризме"
"6323","4047","Информационные технологии в управлении"
"9408",NULL,"Информационные технологии в управлении качеством"
"4635","3879","Информационные технологии в физике"
"3644","4265","Информационные технологии в филологии"
"3043","4087769","Информационные технологии в художественной культуре"
"6324","4047","Информационные технологии управления"
"7755","4301","Информационные технологиии в сервисе"
"1931","3952","Информационные технологиии в управлении качеством"
"1909","3952","Инфраструктура нововведений"
"9753","4087776","Использование инновационных технологий обучения учащихся в технологическом образовании"
"5627","3879","Исследование колебательно-вращательных спектров молекул"
"9757","4087776","Исследование операций"
"4427","3879","Исследование потоков биологических жидкостей"
"6721","4087778","Исследование систем управления"
"1282","4087764","Исследование скважин и пластов"
"10678","4204","История"
"1869","3952","Историки-методологические аспекты научно-техническ.прогресса"
"2908","4087774","Историко-литературное краеведение "
"8073","4301","Историография"
"7743","4301","Историческая антропология"
"7125","4349","Историческая география"
"7318","4329","Историческая геология"
"7617","4301","Историческая демография"
"1283","4087764","Историческая и региональная геология"
"2897","4087774","Историческая лексикология и лексикография"
"7930","4301","Историческое краеведение"
"7748","4301","Историческое краеведение и история Саратовского края"
"4003","4087768","История"
"1284","4087764","История"
"6559","3920","История античной философии"
"7781","4301","История археологических открытий"
"7731","4301","История внешней политики России"
"7124","4349","История географии"
"7935","4301","История города ч. 1"
"7643","4301","История города ч. 2"
"7555","4301","История города ч. 4"
"6329","4047","История государственного и муниципального управления"
"2133","4087763","История государственного управления в России"
"8024","4301","История декоративно-прикладного искусства"
"7500","4301","История Древнего мира"
"3746","4265","История зарубежной журналистики"
"3846","4265","История зарубежной литературы"
"5757","4370","История и методология биологии"
"7185","4349","История и методология географической науки"
"2423","3935","История и методология науки"
"2025","3952","История и методология науки и техники"
"5676","3879","История и методология науки и философские вопросы естествознания"
"10831","4204","История и методология прикладной математики и информатики"
"6052","4087765","История и методология психологии: История и методология психологии XX-XXI вв."
"6051","4087765","История и методология психологии: Начала истории и методологии психологии"
"6331","4047","История и методология социологии"
"9661","3822","История и методология юридической науки"
"6634","3920","История и теория мировой культуры"
"6589","3920","История и философия науки"
"3752","4265","История искусств"
"8078","4301","История искусства"
"7969","4301","История исторической науки"
"7952","4301","История костюма"
"4270","4087768","История края"
"6658","3920","История культурологии"
"6033","4087765","История культуры и психология искусства: История культуры"
"6034","4087765","История культуры и психология искусства: Психология искусства"
"3843","4265","История лингвистических учений"
"3657","4265","История лингвистической науки"
"3859","4265","История литературной критики"
"3067","4087769","История любительского театрального творчества"
"10993","4204","История математики"
"7859","4301","История международных отношений 1900-1991 гг."
"1285","4087764","История мировой культуры"
"6673","3920","История науки"
"3723","4265","История основного иностранного языка"
"7858","4301","История отдельных регионов мира"
"8120","3964","История Отечества"
"3788","4265","История отечественной журналистики"
"3805","4265","История отечественной литературы"
"3698","4265","История отечественной художественной культуры"
"7292","3920","История педагогики"
"6825","4087778","История педагогики и образования"
"6642","3920","История повседневности"
"9558","3822","История политики"
"8099","4301","История политических и правовых учений"
"7646","4301","История политических учений"
